Enc_Actual_Hour_Depart__10:31:00,0.002030524,,Enc_Miles__16:22:00,0.027445857
Enc_Actual_Hour_Depart__10:32:00,-0.000120832,,Enc_Direciton__280N-1610,0.026851609
Enc_Actual_Hour_Depart__10:33:00,0.005265041,,Enc_Route_Number__10686,0.026472453
Enc_Actual_Hour_Depart__10:34:00,-0.002030028,,Enc_Miles__17:41:00,0.026396487
Enc_Actual_Hour_Depart__10:35:00,-0.005676841,,Enc_Stop__0.0,0.026329169
Enc_Actual_Hour_Depart__10:36:00,0.000437791,,Enc_Miles__16:29:00,0.026259778
Enc_Actual_Hour_Depart__10:37:00,-0.006490343,,Enc_Miles__18:00:00,0.025955156
Enc_Actual_Hour_Depart__10:38:00,-0.008985177,,Enc_Miles__18:22:00,0.025943712
Enc_Actual_Hour_Depart__10:39:00,-0.007164405,,Enc_Actual_Hour_Depart__17:01:00,0.025705566
Enc_Actual_Hour_Depart__10:40:00,-0.010276484,,Enc_Miles__18:38:00,0.025515834
Enc_Actual_Hour_Depart__10:41:00,0.002807373,,Enc_Month__11/26/2019,0.025457561
Enc_Actual_Hour_Depart__10:42:00,-0.002818204,,Enc_Direciton__280N-1740,0.025399376
Enc_Actual_Hour_Depart__10:43:00,-0.001680925,,Enc_Direciton__280S-1715,0.025228426
Enc_Actual_Hour_Depart__10:44:00,-0.000720973,,Enc_Stop__0.598,0.024657115
Enc_Actual_Hour_Depart__10:45:00,0.001301875,,Enc_Direciton__280N-1648,0.024575132
Enc_Actual_Hour_Depart__10:46:00,0.004157957,,Enc_Direciton__280N-1555,0.024556401
Enc_Actual_Hour_Depart__10:47:00,-0.000162227,,Enc_Route_Number__10629,0.024466628
Enc_Actual_Hour_Depart__10:48:00,-0.007650062,,Enc_Actual_Hour_Depart__18:19:00,0.024339523
Enc_Actual_Hour_Depart__10:49:00,-0.002406573,,Enc_Actual_Hour_Depart__17:05:00,0.024005694
Enc_Actual_Hour_Depart__10:50:00,-0.010011733,,Enc_Month__11/1/2019,0.023922781
Enc_Actual_Hour_Depart__10:51:00,0.000888012,,Enc_Direciton__280N-1448,0.023753281
Enc_Actual_Hour_Depart__10:52:00,-0.000570955,,Enc_Miles__17:28:00,0.023559139
Enc_Actual_Hour_Depart__10:53:00,0.004835225,,Enc_Miles__16:41:00,0.023425599
Enc_Actual_Hour_Depart__10:54:00,-0.003637576,,Enc_Direciton__280S-1540,0.023425173
Enc_Actual_Hour_Depart__10:55:00,-0.001634507,,Enc_Direciton__280N-0800,0.023202647
Enc_Actual_Hour_Depart__10:56:00,-0.003227304,,Enc_Direciton__280N-1355,0.023174589
Enc_Actual_Hour_Depart__10:57:00,-0.008151284,,Enc_Actual_Hour_Depart__17:51:00,0.023027677
