Difference (Minutes),1,,Difference (Minutes),1
Enc_Transit_Date__10/2/2020,-0.001597294,,Enc_Day_of_Week__4521,0.019978032
Enc_Transit_Date__10/20/2020,-0.002789753,,Enc_Day_of_Week__4577,0.019828244
Enc_Transit_Date__10/21/2020,-0.00238905,,Enc_Transit_Date__3/10/2020,0.019307088
Enc_Transit_Date__10/22/2020,-0.005140981,,Enc_Day_of_Week__3218,0.019253619
Enc_Transit_Date__10/23/2020,-0.001030828,,Enc_Day_of_Week__5015,0.019212042
Enc_Transit_Date__10/24/2020,0.008297441,,Enc_Stop_Sequence__10293,0.019152767
Enc_Transit_Date__10/25/2020,-3.97E-05,,Enc_Day_of_Week__5129,0.019092408
Enc_Transit_Date__10/26/2020,-0.004355378,,Enc_Transit_Date__3/12/2020,0.019077516
Enc_Transit_Date__10/27/2020,-0.005247439,,Enc_Stop_Sequence__10889,0.019054545
Enc_Transit_Date__10/28/2020,0.000661958,,Enc_Day_of_Week__4709,0.018788111
Enc_Transit_Date__10/29/2020,-0.003721408,,Enc_Stop_Sequence__10297,0.018773437
Enc_Transit_Date__10/3/2020,0.004586912,,Enc_Day_of_Week__5075,0.018712378
Enc_Transit_Date__10/30/2020,0.009329877,,Enc_Day_of_Week__3291,0.018513614
Enc_Transit_Date__10/31/2020,0.004364018,,Enc_Stop_Sequence__10611,0.018386429
Enc_Transit_Date__10/4/2020,0.000231263,,Enc_Transit_Date__2/13/2020,0.018346716
Enc_Transit_Date__10/5/2020,-0.004098725,,Enc_Stop_ID__20.839,0.018316828
Enc_Transit_Date__10/6/2020,-0.011000479,,Enc_Transit_Date__2/20/2020,0.018210429
Enc_Transit_Date__10/7/2020,-0.003102152,,Enc_Day_of_Week__4934,0.018012969
Enc_Transit_Date__10/8/2020,-0.011039131,,Enc_Transit_Date__2/12/2020,0.017954803
Enc_Transit_Date__10/9/2020,-0.003287926,,Enc_Stop_ID__8.444,0.017932013
Enc_Transit_Date__11/10/2020,-0.001244031,,Enc_Block_Number__896,0.017776623
Enc_Transit_Date__11/11/2020,-0.008491349,,Enc_Transit_Date__2/29/2020,0.017702127
Enc_Transit_Date__11/12/2020,-0.00469682,,Enc_Transit_Date__2/19/2020,0.017540585
Enc_Transit_Date__11/13/2020,-0.001939036,,Enc_Stop_Sequence__10603,0.017435743
Enc_Transit_Date__11/15/2020,-0.000641904,,Enc_Transit_Date__11/21/2020,0.017415879
Enc_Transit_Date__11/16/2020,-0.000418915,,Enc_Stop_Sequence__10256,0.017363846
Enc_Transit_Date__11/17/2020,-0.003781541,,Enc_Badge_#__12,0.017320685
Enc_Transit_Date__11/18/2020,-0.002697308,,Enc_Day_of_Week__4520,0.0172632
Enc_Transit_Date__11/19/2020,-0.000228175,,Enc_Day_of_Week__4962,0.017248839
Enc_Transit_Date__11/2/2020,0.003290106,,Enc_Transit_Date__3/13/2020,0.017181735
Enc_Transit_Date__11/20/2020,-0.005772821,,Enc_Block_Number__2593,0.017089014
Enc_Transit_Date__11/21/2020,0.017415879,,Enc_Transit_Date__2/17/2020,0.016863663
Enc_Transit_Date__11/22/2020,-0.006050606,,Enc_Actual_Hour_Depart__22,0.016628623
Enc_Transit_Date__11/23/2020,-0.008486876,,Enc_Badge_#__11,0.016465562
Enc_Transit_Date__11/24/2020,-0.003500152,,Enc_Stop_Sequence__10614,0.016194787
Enc_Transit_Date__11/25/2020,-0.001130356,,Enc_Stop_Sequence__10254,0.016121945
Enc_Transit_Date__11/26/2020,-0.002014625,,Enc_Day_of_Week__5117,0.015998138
Enc_Transit_Date__11/27/2020,-0.012467767,,Enc_Transit_Date__1/21/2020,0.015877453
Enc_Transit_Date__11/28/2020,0.004976742,,Enc_Day_of_Week__5087,0.015721834
Enc_Transit_Date__11/29/2020,-0.003990862,,Enc_Day_of_Week__3017,0.015497975
Enc_Transit_Date__11/3/2020,-0.003486499,,Enc_Day_of_Week__4963,0.015496851
Enc_Transit_Date__11/30/2020,-0.007853009,,Enc_Stop_Sequence__10607,0.015295714
Enc_Transit_Date__11/4/2020,0.025954127,,Enc_Day_of_Week__5146,0.015287387
Enc_Transit_Date__11/5/2020,-0.008255088,,Enc_Day_of_Week__3064,0.015269714
Enc_Transit_Date__11/6/2020,0.002731999,,Enc_Day_of_Week__5040,0.015227228
Enc_Transit_Date__11/7/2020,0.005500144,,Enc_Transit_Date__1/29/2020,0.015224753
Enc_Transit_Date__11/8/2020,-0.004418096,,Enc_Day_of_Week__5121,0.015221647
Enc_Transit_Date__11/9/2020,-0.007547359,,Enc_Day_of_Week__5031,0.015188731
Enc_Transit_Date__12/1/2020,-0.005074023,,Enc_Day_of_Week__5009,0.015126701
Enc_Transit_Date__12/10/2020,-0.007048311,,Enc_Transit_Date__2/11/2020,0.015103851
Enc_Transit_Date__12/11/2020,-0.007232828,,Enc_Day_of_Week__5064,0.015042166
Enc_Transit_Date__12/12/2020,0.00534051,,Enc_Block_Number__2158,0.014967629
Enc_Transit_Date__12/13/2020,-0.005089593,,Enc_Day_of_Week__5096,0.01468546
Enc_Transit_Date__12/14/2020,-0.007057399,,Enc_Transit_Date__2/5/2020,0.014572074
Enc_Transit_Date__12/15/2020,-0.001782202,,Enc_Stop_Sequence__10285,0.014561441
Enc_Transit_Date__12/16/2020,-0.004667689,,Enc_Stop_Sequence__10232,0.01425775
Enc_Transit_Date__12/17/2020,-0.006076157,,Enc_Transit_Date__1/15/2020,0.014209913
Enc_Transit_Date__12/18/2020,-0.007084443,,Enc_Transit_Date__7/30/2020,0.014100997
Enc_Transit_Date__12/19/2020,0.002845396,,Enc_Day_of_Week__3723,0.01400144
Enc_Transit_Date__12/2/2020,-0.005556738,,Enc_Actual_Hour_Depart__15,0.013981317
Enc_Transit_Date__12/20/2020,-0.003881074,,Enc_Transit_Date__1/17/2020,0.013815466
Enc_Transit_Date__12/21/2020,-0.05677451,,Enc_Stop_Sequence__11658,0.013812266
Enc_Transit_Date__12/22/2020,4.75E-06,,Enc_Day_of_Week__4892,0.013811209
Enc_Transit_Date__12/23/2020,-0.004315646,,Enc_Stop_Sequence__10609,0.013757221
Enc_Transit_Date__12/24/2020,-0.003413504,,Enc_Day_of_Week__5034,0.013749621
Enc_Transit_Date__12/25/2020,-0.007377152,,Enc_Day_of_Week__4388,0.013697212
Enc_Transit_Date__12/26/2020,0.002303132,,Enc_Block_Number__2591,0.013696074
Enc_Transit_Date__12/27/2020,-0.002470324,,Enc_Day_of_Week__3304,0.013683577
Enc_Transit_Date__12/28/2020,0.000521099,,Enc_Transit_Date__2/15/2020,0.013639343
Enc_Transit_Date__12/29/2020,-0.000644361,,Enc_Day_of_Week__3295,0.013630706
Enc_Transit_Date__12/3/2020,-0.001670242,,Enc_Stop_Sequence__11665,0.013596836
Enc_Transit_Date__12/30/2020,-0.00731543,,Enc_Day_of_Week__4284,0.013587621
Enc_Transit_Date__12/31/2020,-0.004564508,,Enc_Day_of_Week__4889,0.013549648
Enc_Transit_Date__12/4/2020,-0.001228813,,Enc_Stop_Sequence__10698,0.013369131
Enc_Transit_Date__12/5/2020,0.009391871,,Enc_Stop_Sequence__10294,0.013311378
Enc_Transit_Date__12/6/2020,-0.002285664,,Enc_Day_of_Week__3848,0.013265236
Enc_Transit_Date__12/7/2020,-0.004328923,,Enc_Day_of_Week__5005,0.013220055
Enc_Transit_Date__12/8/2020,-0.00115656,,Enc_Day_of_Week__4979,0.013092332
Enc_Transit_Date__12/9/2020,-0.003506712,,Enc_Day_of_Week__5101,0.013041992
Enc_Transit_Date__2/1/2020,0.045215992,,Enc_Stop_Sequence__11657,0.012908623
