Difference (Minutes),1,,Difference (Minutes),1
Prev Departure Offset,0.831274827,,Prev Departure Offset,0.831274827
Actual Depart,0.085444217,,Enc_Actual_Hour_Depart__17,0.107660164
Transit Date Month,0.013035693,,Actual Depart,0.085444217
Enc_Actual_Hour_Depart__0,-0.00159615,,Enc_Actual_Hour_Depart__18,0.079481464
Enc_Actual_Hour_Depart__1,-0.013001751,,Enc_Day_of_Week__4603,0.075902216
Enc_Actual_Hour_Depart__2,-0.002563138,,Enc_Day_of_Week__5041,0.057987008
Enc_Actual_Hour_Depart__3,-0.02779558,,Enc_Stop_Sequence__10613,0.05373941
Enc_Actual_Hour_Depart__4,-0.035531675,,Enc_Actual_Hour_Depart__16,0.051556575
Enc_Actual_Hour_Depart__5,-0.03912405,,Enc_Day_of_Week__3707,0.048454543
Enc_Actual_Hour_Depart__6,-0.030673342,,Enc_Day_of_Week__4889,0.047545635
Enc_Actual_Hour_Depart__7,-0.010144863,,Enc_Transit_Date__6/6/2019,0.047332522
Enc_Actual_Hour_Depart__8,-0.007080667,,Enc_Day_of_Week__5035,0.045577851
Enc_Actual_Hour_Depart__9,-0.025632925,,Enc_Day_of_Week__4645,0.045364263
Enc_Actual_Hour_Depart__10,-0.030333992,,Enc_Day_of_Week__5047,0.044152268
Enc_Actual_Hour_Depart__11,-0.030575566,,Enc_Day_of_Week__4294,0.043805129
Enc_Actual_Hour_Depart__12,-0.028948158,,Enc_Day_of_Week__5021,0.043660629
Enc_Actual_Hour_Depart__13,-0.018557933,,Enc_Day_of_Week__4545,0.04098056
Enc_Actual_Hour_Depart__14,-0.000197626,,Enc_Stop_Sequence__10314,0.038865212
Enc_Actual_Hour_Depart__15,0.026350405,,Enc_Day_of_Week__4963,0.038577613
Enc_Actual_Hour_Depart__16,0.051556575,,Enc_Day_of_Week__4179,0.038115281
Enc_Actual_Hour_Depart__17,0.107660164,,Enc_Stop_Sequence__10292,0.036439725
Enc_Actual_Hour_Depart__18,0.079481464,,Enc_Day_of_Week__4576,0.036275043
Enc_Actual_Hour_Depart__19,-0.010088305,,Enc_Day_of_Week__3098,0.034759936
Enc_Actual_Hour_Depart__20,-0.008323348,,Enc_Day_of_Week__3257,0.03474871
Enc_Actual_Hour_Depart__21,-0.017735875,,Enc_Stop_Sequence__10303,0.034378434
Enc_Actual_Hour_Depart__22,-0.015465166,,Enc_Day_of_Week__4948,0.033337649
Enc_Actual_Hour_Depart__23,-0.001913208,,Enc_Day_of_Week__5067,0.032171163
Enc_Transit_Date__10/1/2019,0.013267324,,Enc_Stop_Sequence__10308,0.032052002
Enc_Transit_Date__10/10/2019,0.002114451,,Enc_Miles__Saturday,0.032007765
Enc_Transit_Date__10/11/2019,0.010037526,,Enc_Day_of_Week__4875,0.031676876
Enc_Transit_Date__10/12/2019,0.029056161,,Enc_Stop_Sequence__10311,0.031549658
Enc_Transit_Date__10/13/2019,0.00155887,,Enc_Stop_Sequence__10296,0.031165859
Enc_Transit_Date__10/14/2019,-0.014794515,,Enc_Day_of_Week__4660,0.030842626
Enc_Transit_Date__10/15/2019,-0.004729236,,Enc_Day_of_Week__4955,0.030776668
Enc_Transit_Date__10/16/2019,-0.002253732,,Enc_Day_of_Week__3291,0.030739665
Enc_Transit_Date__10/17/2019,-0.002691421,,Enc_Day_of_Week__5049,0.030527293
Enc_Transit_Date__10/18/2019,0.001810588,,Enc_Stop_ID__39.09,0.030045186
Enc_Transit_Date__10/19/2019,0.024069467,,Enc_Transit_Date__10/12/2019,0.029056161
Enc_Transit_Date__10/2/2019,0.004251791,,Enc_Day_of_Week__5017,0.02901222
Enc_Transit_Date__10/20/2019,0.024528691,,Enc_Transit_Date__3/22/2019,0.028833768
Enc_Transit_Date__10/21/2019,-0.006198721,,Enc_Day_of_Week__3954,0.028664718
Enc_Transit_Date__10/22/2019,0.013784973,,Enc_Day_of_Week__4673,0.028607823
Enc_Transit_Date__10/23/2019,0.008023927,,Enc_Day_of_Week__5031,0.027890073
Enc_Transit_Date__10/24/2019,0.002802512,,Enc_Stop_Sequence__10715,0.027629487
Enc_Transit_Date__10/25/2019,0.009715823,,Enc_Transit_Date__3/16/2019,0.027585452
Enc_Transit_Date__10/26/2019,0.011328076,,Enc_Stop_ID__5.397,0.027072366
Enc_Transit_Date__10/27/2019,-0.00303427,,Enc_Block_Number__2818,0.026855422
Enc_Transit_Date__10/28/2019,-0.006521667,,Enc_Block_Number__1172,0.026616101
Enc_Transit_Date__10/29/2019,0.001795854,,Enc_Actual_Hour_Depart__15,0.026350405
Enc_Transit_Date__10/3/2019,0.001431752,,Enc_Day_of_Week__5036,0.025942994
Enc_Transit_Date__10/30/2019,-0.005671595,,Enc_Day_of_Week__3808,0.02589703
Enc_Transit_Date__10/31/2019,0.01014181,,Enc_Day_of_Week__4881,0.025791759
Enc_Transit_Date__10/4/2019,0.018402142,,Enc_Day_of_Week__3295,0.025508816
Enc_Transit_Date__10/6/2019,0.002496583,,Enc_Badge_#__6,0.025365216
Enc_Transit_Date__10/7/2019,0.001191435,,Enc_Transit_Date__3/13/2019,0.025289077
Enc_Transit_Date__10/8/2019,0.003472001,,Enc_Stop_Sequence__10297,0.025271297
