Block #,0.073571322,,Difference (Minutes),1
Stop Sequence,-0.132583054,,Prev Departure Offset,0.512332633
Latitude,,,Enc_Stop__1777,0.128799506
Longitude,0.033158391,,Enc_Badge__3030.0,0.12822958
Difference (Minutes),1,,Enc_Badge__4603.0,0.127705659
Dwell Time,-0.14346799,,Enc_Miles__12.19,0.111612703
Scheduled Run Time,0.020732228,,Enc_Stop__1812,0.104871927
Actual Run Time,0.039919752,,Enc_Month__2,0.102799175
Prev Departure Offset,0.512332633,,Enc_Badge__3149.0,0.100000781
Enc_Hour__0,0.009637022,,Enc_Month__1,0.085848414
Enc_Hour__3,-0.009355789,,Enc_Badge__3559.0,0.085302314
Enc_Hour__4,-0.037094573,,Enc_Miles__24.366,0.084239307
Enc_Hour__5,-0.029238455,,Enc_Badge__5016.0,0.083948023
Enc_Hour__6,-0.048492834,,Enc_Badge__4776.0,0.07871666
Enc_Hour__7,-0.035009673,,Enc_Miles__24.493,0.078336249
Enc_Hour__8,-0.019124105,,Enc_Stop__1068,0.074008662
Enc_Hour__9,-0.043172777,,Block #,0.073571322
Enc_Hour__10,-0.054425813,,Enc_Miles__15.752,0.072619261
Enc_Hour__11,-0.027311607,,Enc_Hour__21,0.072516019
Enc_Hour__12,-0.030879694,,Enc_Miles__17.305,0.064253538
Enc_Hour__13,-0.000374131,,Enc_Badge__3474.0,0.061655002
Enc_Hour__14,0.024185179,,Enc_Badge__3780.0,0.060583065
Enc_Hour__15,0.037924195,,Enc_Day__Saturday,0.055509952
Enc_Hour__16,0.03946412,,Enc_Hour__17,0.054785426
Enc_Hour__17,0.054785426,,Enc_Miles__0.0,0.049837516
Enc_Hour__18,0.028098982,,Enc_Badge__5096.0,0.044230057
Enc_Hour__19,0.0065013,,Enc_Badge__5058.0,0.042993825
Enc_Hour__20,0.035985003,,Enc_Badge__3072.0,0.042247385
Enc_Hour__21,0.072516019,,Enc_Miles__0.628,0.040283042
Enc_Hour__22,-0.005461212,,Enc_Badge__5063.0,0.039972424
Enc_Hour__23,-0.018240891,,Actual Run Time,0.039919752
Enc_Month__1,0.085848414,,Enc_Badge__5093.0,0.039478638
Enc_Month__2,0.102799175,,Enc_Hour__16,0.03946412
Enc_Month__3,-0.019887102,,Enc_Badge__4889.0,0.039450521
Enc_Month__4,-0.057656958,,Enc_Day__Friday,0.039034094
Enc_Month__5,-0.021856842,,Enc_Badge__4521.0,0.038306708
Enc_Month__6,-0.015147416,,Enc_Badge__4742.0,0.038182534
Enc_Month__7,-0.019129151,,Enc_Hour__15,0.037924195
Enc_Month__8,-0.013912226,,Enc_Badge__4179.0,0.037427757
Enc_Month__9,-0.014949492,,Enc_Miles__17.982,0.036023967
Enc_Month__10,0.005481154,,Enc_Hour__20,0.035985003
Enc_Month__11,-0.003755902,,Enc_Badge__5026.0,0.034995702
