Enc_Actual_Hour_Depart__10:36:00,-0.001953801,,,Enc_Actual_Hour_Depart__21:08:00,0.024624742
Enc_Actual_Hour_Depart__10:37:00,-0.005799812,,,Enc_Actual_Hour_Depart__13:02:00,0.024563613
Enc_Actual_Hour_Depart__10:38:00,-0.011764308,,,Enc_Direciton__280N-2101,0.024350355
Enc_Actual_Hour_Depart__10:39:00,-0.000550193,,,Enc_Miles__21:34:00,0.023894558
Enc_Actual_Hour_Depart__10:40:00,0.000167877,,,Enc_Direciton__280N-1655,0.023870696
Enc_Actual_Hour_Depart__10:41:00,-0.001323046,,,Enc_Direciton__280N-0618,0.023748447
Enc_Actual_Hour_Depart__10:42:00,-0.000104254,,,Enc_Direciton__280S-1510,0.023529371
Enc_Actual_Hour_Depart__10:43:00,-0.008026652,,,Enc_Miles__12:49:00,0.023514893
Enc_Actual_Hour_Depart__10:44:00,-0.001332443,,,Enc_Route_Number__10830,0.023473916
Enc_Actual_Hour_Depart__10:45:00,-0.002526935,,,Enc_Miles__16:26:00,0.023461123
Enc_Actual_Hour_Depart__10:46:00,0.003914183,,,Enc_Actual_Hour_Depart__17:01:00,0.023350437
Enc_Actual_Hour_Depart__10:47:00,0.000577313,,,Enc_Miles__16:38:00,0.02305195
Enc_Actual_Hour_Depart__10:48:00,0.002247889,,,Enc_Direciton__280N-1740,0.023010435
Enc_Actual_Hour_Depart__10:49:00,-0.006511575,,,Enc_Actual_Hour_Depart__17:02:00,0.022972202
Enc_Actual_Hour_Depart__10:50:00,-0.002196615,,,Enc_Route_Number__10629,0.022494729
Enc_Actual_Hour_Depart__10:51:00,-0.000175237,,,Enc_Miles__20:54:00,0.022257593
Enc_Actual_Hour_Depart__10:52:00,0.001212305,,,Enc_Miles__13:48:00,0.022190136
Enc_Actual_Hour_Depart__10:53:00,-0.006329703,,,Enc_Miles__15:02:00,0.021999625
Enc_Actual_Hour_Depart__10:54:00,-0.006606421,,,Enc_Route_Number__10048,0.02194394
Enc_Actual_Hour_Depart__10:55:00,-0.007144299,,,Enc_Actual_Hour_Depart__17:16:00,0.021760716
Enc_Actual_Hour_Depart__10:56:00,-0.004641364,,,Enc_Miles__19:12:00,0.021501556
Enc_Actual_Hour_Depart__10:57:00,0.002983374,,,Enc_Miles__17:24:00,0.021491264
Enc_Actual_Hour_Depart__10:58:00,-0.009446879,,,Enc_Actual_Hour_Depart__17:13:00,0.021379944
Enc_Actual_Hour_Depart__10:59:00,-0.001008072,,,Enc_Miles__16:14:00,0.020986236
Enc_Actual_Hour_Depart__11:00:00,-0.01084973,,,Enc_Actual_Hour_Depart__17:33:00,0.020800433
Enc_Actual_Hour_Depart__11:01:00,0.008441965,,,Enc_Miles__13:24:00,0.020778243
Enc_Actual_Hour_Depart__11:02:00,-0.005580608,,,Enc_Month__3/6/2020,0.020568272
Enc_Actual_Hour_Depart__11:03:00,-0.0010263,,,Enc_Miles__16:37:00,0.020503444
Enc_Actual_Hour_Depart__11:04:00,0.001705033,,,Enc_Miles__15:24:00,0.020468659
Enc_Actual_Hour_Depart__11:05:00,-0.013128115,,,Enc_Direciton__280N-1648,0.020366482
Enc_Actual_Hour_Depart__11:06:00,0.005954629,,,Enc_Stop__8.93,0.020361217
Enc_Actual_Hour_Depart__11:07:00,0.00265717,,,Enc_Direciton__280N-1148,0.020240296
Enc_Actual_Hour_Depart__11:08:00,0.000172723,,,Enc_Actual_Hour_Depart__14:19:00,0.020165815
Enc_Actual_Hour_Depart__11:09:00,-0.00726797,,,Enc_Miles__7:58:00,0.020160939
Enc_Actual_Hour_Depart__11:10:00,0.000349396,,,Enc_Direciton__280S-1225,0.020110913
Enc_Actual_Hour_Depart__11:11:00,0.002136476,,,Enc_Miles__15:10:00,0.019841748
Enc_Actual_Hour_Depart__11:12:00,0.002879768,,,Enc_Actual_Hour_Depart__17:31:00,0.019803849
Enc_Actual_Hour_Depart__11:13:00,0.008240268,,,Enc_Actual_Hour_Depart__17:15:00,0.019793223
Enc_Actual_Hour_Depart__11:14:00,0.003108774,,,Enc_Month__11/23/2020,0.01975443
Enc_Actual_Hour_Depart__11:15:00,-0.011187261,,,Enc_Miles__14:38:00,0.019704403
Enc_Actual_Hour_Depart__11:16:00,-0.000548297,,,Enc_Month__4/26/2020,0.019698271
Enc_Actual_Hour_Depart__11:17:00,-0.001832228,,,Enc_Direciton__280S-1815,0.019683196
Enc_Actual_Hour_Depart__11:18:00,-0.007117516,,,Enc_Route_Number__10020,0.0196763
Enc_Actual_Hour_Depart__11:19:00,-0.00053741,,,Enc_Direciton__280S-1800,0.0196763
Enc_Actual_Hour_Depart__11:20:00,-0.010267117,,,Enc_Miles__16:25:00,0.019623121
Enc_Actual_Hour_Depart__11:21:00,0.002845792,,,Enc_Actual_Hour_Depart__17:32:00,0.019576911
Enc_Actual_Hour_Depart__11:22:00,0.005674257,,,Enc_Direciton__280N-1748,0.019511474
Enc_Actual_Hour_Depart__11:23:00,-0.001648097,,,Enc_Actual_Hour_Depart__17:06:00,0.019473977
Enc_Actual_Hour_Depart__11:24:00,-0.000527445,,,Enc_Miles__12:29:00,0.019323329
Enc_Actual_Hour_Depart__11:25:00,-0.003639663,,,Enc_Miles__16:22:00,0.019151217
Enc_Actual_Hour_Depart__11:26:00,0.005744032,,,Enc_Actual_Hour_Depart__16:53:00,0.019113094
Enc_Actual_Hour_Depart__11:27:00,0.003078016,,,Enc_Route_Number__10676,0.018986897
Enc_Actual_Hour_Depart__11:28:00,-0.013687425,,,Enc_Actual_Hour_Depart__17:03:00,0.018977474
Enc_Actual_Hour_Depart__11:29:00,-0.00345689,,,Enc_Actual_Hour_Depart__15:30:00,0.018935312
Enc_Actual_Hour_Depart__11:30:00,0.00175505,,,Enc_Month__2/26/2020,0.018751994
Enc_Actual_Hour_Depart__11:31:00,0.003037704,,,Enc_Actual_Hour_Depart__15:25:00,0.018704284
Enc_Actual_Hour_Depart__11:32:00,0.009552946,,,Enc_Miles__16:41:00,0.018668971
Enc_Actual_Hour_Depart__11:33:00,0.006121196,,,Enc_Actual_Hour_Depart__17:45:00,0.018627955
Enc_Actual_Hour_Depart__11:34:00,0.005169102,,,Enc_Actual_Hour_Depart__8:31:00,0.018508164
Enc_Actual_Hour_Depart__11:35:00,-0.003031488,,,Enc_Direciton__280S-1540,0.018396649
Enc_Actual_Hour_Depart__11:36:00,0.002625423,,,Enc_Miles__13:40:00,0.018331425
