Feature \ Route,187 2019,,,,,
Enc_Miles__25.441,0.005079677,,,,,
Enc_Miles__25.529,0.039782425,,,,,
Enc_Miles__25.6,0.020411565,,,,,
Enc_Miles__25.72,0.02506024,,,,,
Enc_Miles__25.803,0.007316897,,,,,
Enc_Miles__25.881,0.013979144,,,,,
Enc_Miles__26.024,-0.001299782,,,,,
Enc_Miles__26.052,0.018540196,,,,,
Enc_Miles__26.087,0.004852527,,,,,
Enc_Miles__26.095,0.020236664,,,,,
Enc_Miles__26.235,0.002037814,,,,,
Enc_Miles__26.28,0.033346513,,,,,
Enc_Miles__26.323,0.00514163,,,,,
Enc_Miles__26.48,0.018654975,,,,,
Enc_Miles__26.557,0.007891741,,,,,
Enc_Miles__26.622,0.007212973,,,,,
Enc_Miles__26.654,0.009042785,,,,,
Enc_Miles__26.738,0.006383583,,,,,
Enc_Miles__26.822,-0.007102113,,,,,
Enc_Miles__26.933,0.00081859,,,,,
Enc_Miles__26.979,0.006276711,,,,,
Enc_Miles__27.02,0.014590839,,,,,
Enc_Miles__27.086,0.000434119,,,,,
Enc_Miles__27.179,0.038225831,,,,,
Enc_Miles__27.235,0.007508959,,,,,
Enc_Miles__27.319,0.007402563,,,,,
Enc_Miles__27.375,0.014585727,,,,,
Enc_Miles__27.526,0.013274423,,,,,
Enc_Miles__27.553,-0.002693906,,,,,
Enc_Miles__27.717,0.021097385,,,,,
Enc_Miles__27.795,0.007972905,,,,,
Enc_Miles__27.954,0.003595326,,,,,
Enc_Miles__27.971,0.011380737,,,,,
Enc_Miles__28.001,0.00809652,,,,,
Enc_Miles__28.009,0.015911184,,,,,
Enc_Miles__28.098,-0.001235419,,,,,
Enc_Miles__28.566,0.006620306,,,,,
Enc_Miles__28.568,0.002552674,,,,,
Enc_Miles__28.868,0.011413475,,,,,
Enc_Miles__29.274,0.013533076,,,,,
Enc_Miles__29.922,0.016511577,,,,,
Enc_Miles__30.822,0.002864982,,,,,
Enc_Miles__44.465,0.005814851,,,,,
Enc_Miles__48.143,0.03105599,,,,,
Enc_Stop__177,-0.121053145,,,,,
Enc_Stop__1068,-0.032819169,,,,,
Enc_Stop__1069,0.097183984,,,,,
Enc_Stop__1777,0.159917856,,,,,
Enc_Stop__1780,-0.033523378,,,,,
Enc_Stop__1812,0.114100286,,,,,
Enc_Stop__1813,-0.014824023,,,,,
Enc_Stop__2240,-0.195318319,,,,,
Enc_Badge__3001.0,0.004335422,,,,,
Enc_Badge__3004.0,-0.000899451,,,,,
Enc_Badge__3005.0,-0.013699709,,,,,
Enc_Badge__3007.0,-0.006816212,,,,,
Enc_Badge__3012.0,-0.017820075,,,,,
Enc_Badge__3017.0,0.011080256,,,,,
Enc_Badge__3030.0,0.091075974,,,,,
Enc_Badge__3032.0,0.018035413,,,,,
Enc_Badge__3044.0,-0.036425476,,,,,
Enc_Badge__3064.0,0.008203528,,,,,
